time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-11-27 20:03:09.367300,A- TÀI SẢN NGẮN HẠN,"5,386,987,962,620","6,065,022,361,917","6,233,845,272,464","6,210,809,668,170"
2025-11-27 20:03:09.367300,I. Tiền và các khoản tương đương tiền,"887,734,691,721","489,186,150,578","1,404,184,880,308","1,575,010,493,581"
2025-11-27 20:03:09.367300,1. Tiền,"787,734,691,721","489,186,150,578","866,184,880,308","736,510,493,581"
2025-11-27 20:03:09.367300,2. Các khoản tương đương tiền,"100,000,000,000",,"538,000,000,000","838,500,000,000"
2025-11-27 20:03:09.367300,II. Các khoản đầu tư tài chính ngắn hạn,"853,500,000,000","1,495,500,000,000","1,310,000,000,000","1,199,000,000,000"
2025-11-27 20:03:09.367300,1. Chứng khoán kinh doanh,,,,
2025-11-27 20:03:09.367300,2. Dự phòng giảm giá chứng khoán kinh doanh,,,,
2025-11-27 20:03:09.367300,3. Đầu tư nắm giữ đến ngày đáo hạn,"853,500,000,000","1,495,500,000,000","1,310,000,000,000","1,199,000,000,000"
2025-11-27 20:03:09.367300,III. Các khoản phải thu ngắn hạn,"2,904,921,902,350","3,154,216,329,527","2,783,655,917,193","2,806,177,509,312"
2025-11-27 20:03:09.367300,1. Phải thu ngắn hạn của khách hàng,"1,925,248,934,514","2,125,979,223,522","1,802,788,998,939","1,898,063,859,057"
2025-11-27 20:03:09.367300,2. Trả trước cho người bán ngắn hạn,"247,807,170,880","319,120,524,344","346,980,970,477","332,122,193,646"
2025-11-27 20:03:09.367300,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,
2025-11-27 20:03:09.367300,5. Phải thu về cho vay ngắn hạn,,,,
2025-11-27 20:03:09.367300,6. Phải thu ngắn hạn khác,"820,723,361,919","797,835,220,454","729,510,212,307","666,627,059,135"
2025-11-27 20:03:09.367300,7. Dự phòng phải thu ngắn hạn khó đòi,"-88,857,564,963","-88,718,638,793","-95,624,264,530","-90,635,602,526"
2025-11-27 20:03:09.367300,8. Tài sản Thiếu chờ xử lý,,,,
2025-11-27 20:03:09.367300,IV. Hàng tồn kho,"602,090,910,044","801,532,911,360","597,539,125,373","508,572,360,324"
2025-11-27 20:03:09.367300,1. Hàng tồn kho,"620,664,970,386","817,728,977,288","610,259,881,894","517,880,426,204"
2025-11-27 20:03:09.367300,2. Dự phòng giảm giá hàng tồn kho,"-18,574,060,342","-16,196,065,928","-12,720,756,521","-9,308,065,880"
2025-11-27 20:03:09.367300,V.Tài sản ngắn hạn khác,"138,740,458,505","124,586,970,452","138,465,349,590","122,049,304,953"
2025-11-27 20:03:09.367300,1. Chi phí trả trước ngắn hạn,"138,740,458,505","124,586,970,452","138,465,349,590","122,049,304,953"
2025-11-27 20:03:09.367300,2. Thuế GTGT được khấu trừ,,,,
2025-11-27 20:03:09.367300,3. Thuế và các khoản khác phải thu Nhà nước,,,,
2025-11-27 20:03:09.367300,4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
2025-11-27 20:03:09.367300,5. Tài sản ngắn hạn khác,,,,
2025-11-27 20:03:09.367300,B. TÀI SẢN DÀI HẠN,"1,680,206,970,951","1,642,645,457,066","1,565,962,041,731","1,572,101,630,603"
2025-11-27 20:03:09.367300,I. Các khoản phải thu dài hạn,,,,
2025-11-27 20:03:09.367300,1. Phải thu dài hạn của khách hàng,,,,
2025-11-27 20:03:09.367300,2. Trả trước cho người bán dài hạn,,,,
2025-11-27 20:03:09.367300,3. Vốn kinh doanh ở đơn vị trực thuộc,,,,
2025-11-27 20:03:09.367300,4. Phải thu nội bộ dài hạn,,,,
2025-11-27 20:03:09.367300,5. Phải thu về cho vay dài hạn,,,,
2025-11-27 20:03:09.367300,6. Phải thu dài hạn khác,,,,
2025-11-27 20:03:09.367300,7. Dự phòng phải thu dài hạn khó đòi,,,,
2025-11-27 20:03:09.367300,II.Tài sản cố định,"190,729,623,214","175,554,536,189","157,893,593,402","149,501,188,596"
2025-11-27 20:03:09.367300,1. Tài sản cố định hữu hình,"173,599,585,035","159,592,306,557","142,844,937,600","135,083,883,243"
2025-11-27 20:03:09.367300,- Nguyên giá,"734,989,608,232","739,521,905,442","739,624,269,642","747,792,448,516"
2025-11-27 20:03:09.367300,- Giá trị hao mòn lũy kế,"-561,390,023,197","-579,929,598,885","-596,779,332,042","-612,708,565,273"
2025-11-27 20:03:09.367300,2. Tài sản cố định thuê tài chính,,,,
2025-11-27 20:03:09.367300,- Nguyên giá,,,,
