time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-11-27 20:02:31.272707,1. Doanh thu bán hàng và cung cấp dịch vụ,"3,573,601,788,330","2,738,456,545,036","3,235,913,721,663","3,965,175,718,709"
2025-11-27 20:02:31.272707,2. Các khoản giảm trừ doanh thu,,,,
2025-11-27 20:02:31.272707,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"3,573,601,788,330","2,738,456,545,036","3,235,913,721,663","3,965,175,718,709"
2025-11-27 20:02:31.272707,4. Giá vốn hàng bán,"3,315,947,051,650","2,537,495,417,526","3,001,795,830,975","3,717,640,964,277"
2025-11-27 20:02:31.272707,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"257,654,736,680","200,961,127,510","234,117,890,688","247,534,754,432"
2025-11-27 20:02:31.272707,6. Doanh thu hoạt động tài chính,"13,005,226,962","18,969,038,435","21,834,510,356","24,684,219,407"
2025-11-27 20:02:31.272707,7. Chi phí tài chính,"15,934,437,399","19,955,627,521","34,178,443,303","23,701,253,103"
2025-11-27 20:02:31.272707,- Trong đó: Chi phí lãi vay,"15,131,290,822","19,756,399,958","23,269,326,305","23,668,419,488"
2025-11-27 20:02:31.272707,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,
2025-11-27 20:02:31.272707,9. Chi phí bán hàng,,,,
2025-11-27 20:02:31.272707,10. Chi phí quản lý doanh nghiệp,"56,880,414,800","46,140,340,993","42,129,354,109","40,332,940,621"
2025-11-27 20:02:31.272707,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"197,845,111,443","153,834,197,431","179,644,603,632","208,184,780,115"
2025-11-27 20:02:31.272707,12. Thu nhập khác,"2,726,342,303","649,021,048","1,580,638,607","1,352,365,967"
2025-11-27 20:02:31.272707,13. Chi phí khác,"5,929,900,933","142,123,773","52,942,719","22,470,386"
2025-11-27 20:02:31.272707,14. Lợi nhuận khác(40=31-32),"-3,203,558,630","506,897,275","1,527,695,888","1,329,895,581"
2025-11-27 20:02:31.272707,15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"194,641,552,813","154,341,094,706","181,172,299,520","209,514,675,696"
2025-11-27 20:02:31.272707,16. Chi phí thuế TNDN hiện hành,"38,977,168,378","31,924,122,190","36,214,163,849","40,221,754,984"
2025-11-27 20:02:31.272707,17. Chi phí thuế TNDN hoãn lại,"-39,263,007","711,356,285","-25,853,857","352,845,482"
2025-11-27 20:02:31.272707,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"155,703,647,442","121,705,616,231","144,983,989,528","168,940,075,230"
2025-11-27 20:02:31.272707,19. Lợi nhuận sau thuế công ty mẹ,"155,703,647,442","121,705,616,231","144,983,989,528","168,940,075,230"
2025-11-27 20:02:31.272707,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,
2025-11-27 20:02:31.272707,21. Lãi cơ bản trên cổ phiếu(*),"1,361","1,064","1,267","1,476"
2025-11-27 20:02:31.272707,22. Lãi suy giảm trên cổ phiếu (*),,,,
