Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
1. Doanh thu bán hàng và cung cấp dịch vụ,"47,597,490,645","33,337,650,919","3,822,003,041","21,181,271,750"
2. Các khoản giảm trừ doanh thu,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"47,597,490,645","33,337,650,919","3,822,003,041","21,181,271,750"
4. Giá vốn hàng bán,"42,356,477,107","21,212,631,768","2,851,471,111","21,574,147,239"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"5,241,013,538","12,125,019,151","970,531,930","-392,875,489"
6. Doanh thu hoạt động tài chính,"1,156,024","704,954","219,228","199,107"
7. Chi phí tài chính,"2,875,363,154","11,235,006,011","560,815,483","825,899,266"
#NAME?,"2,875,363,154","11,235,006,011","560,815,483","825,899,266"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,
9. Chi phí bán hàng,"1,452,818,737","1,535,083,556","704,828,399",
10. Chi phí quản lý doanh nghiệp,,,,"673,596,842"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"913,987,671","-644,365,462","-294,892,724","-1,892,172,490"
12. Thu nhập khác,"898,616,044","4,292,284,109","629,663,757","3,445,915,745"
13. Chi phí khác,"1,459,349,559","3,422,875,132","249,022,318","1,433,965,276"
14. Lợi nhuận khác(40=31-32),"-560,733,515","869,408,977","380,641,439","2,011,950,469"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"353,254,156","225,043,515","85,748,715","119,777,979"
16. Chi phí thuế TNDN hiện hành,"70,650,831","45,008,703","17,149,743","23,955,596"
17. Chi phí thuế TNDN hoãn lại,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"282,603,325","180,034,812","68,598,972","95,822,383"
19. Lợi nhuận sau thuế công ty mẹ,"282,603,325","180,034,812","68,598,972","95,822,383"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,
