time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-12-06 16:38:32.095109,A- TÀI SẢN NGẮN HẠN,,,,
2025-12-06 16:38:32.095109,I. Tiền và các khoản tương đương tiền,,,,
2025-12-06 16:38:32.095109,1. Tiền,,,,
2025-12-06 16:38:32.095109,2. Các khoản tương đương tiền,,,,
2025-12-06 16:38:32.095109,II. Các khoản đầu tư tài chính ngắn hạn,,,,
2025-12-06 16:38:32.095109,1. Chứng khoán kinh doanh,,,,
2025-12-06 16:38:32.095109,2. Dự phòng giảm giá chứng khoán kinh doanh,,,,
2025-12-06 16:38:32.095109,3. Đầu tư nắm giữ đến ngày đáo hạn,,,,
2025-12-06 16:38:32.095109,III. Các khoản phải thu ngắn hạn,,,,
2025-12-06 16:38:32.095109,1. Phải thu ngắn hạn của khách hàng,,,,
2025-12-06 16:38:32.095109,2. Trả trước cho người bán ngắn hạn,,,,
2025-12-06 16:38:32.095109,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,
2025-12-06 16:38:32.095109,5. Phải thu về cho vay ngắn hạn,,,,
2025-12-06 16:38:32.095109,6. Phải thu ngắn hạn khác,,,,
2025-12-06 16:38:32.095109,7. Dự phòng phải thu ngắn hạn khó đòi,,,,
2025-12-06 16:38:32.095109,8. Tài sản Thiếu chờ xử lý,,,,
2025-12-06 16:38:32.095109,IV. Hàng tồn kho,,,,
2025-12-06 16:38:32.095109,1. Hàng tồn kho,,,,
2025-12-06 16:38:32.095109,2. Dự phòng giảm giá hàng tồn kho,,,,
2025-12-06 16:38:32.095109,V.Tài sản ngắn hạn khác,,,,
2025-12-06 16:38:32.095109,1. Chi phí trả trước ngắn hạn,,,,
2025-12-06 16:38:32.095109,2. Thuế GTGT được khấu trừ,,,,
2025-12-06 16:38:32.095109,3. Thuế và các khoản khác phải thu Nhà nước,,,,
2025-12-06 16:38:32.095109,4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
2025-12-06 16:38:32.095109,5. Tài sản ngắn hạn khác,,,,
2025-12-06 16:38:32.095109,B. TÀI SẢN DÀI HẠN,,,,
2025-12-06 16:38:32.095109,I. Các khoản phải thu dài hạn,,,,
2025-12-06 16:38:32.095109,1. Phải thu dài hạn của khách hàng,,,,
2025-12-06 16:38:32.095109,2. Trả trước cho người bán dài hạn,,,,
2025-12-06 16:38:32.095109,3. Vốn kinh doanh ở đơn vị trực thuộc,,,,
2025-12-06 16:38:32.095109,4. Phải thu nội bộ dài hạn,,,,
2025-12-06 16:38:32.095109,5. Phải thu về cho vay dài hạn,,,,
2025-12-06 16:38:32.095109,6. Phải thu dài hạn khác,,,,
2025-12-06 16:38:32.095109,7. Dự phòng phải thu dài hạn khó đòi,,,,
2025-12-06 16:38:32.095109,II.Tài sản cố định,,,,
2025-12-06 16:38:32.095109,1. Tài sản cố định hữu hình,,,,
2025-12-06 16:38:32.095109,- Nguyên giá,,,,
2025-12-06 16:38:32.095109,- Giá trị hao mòn lũy kế,,,,
2025-12-06 16:38:32.095109,2. Tài sản cố định thuê tài chính,,,,
2025-12-06 16:38:32.095109,- Nguyên giá,,,,
2025-12-06 16:38:32.095109,- Giá trị hao mòn lũy kế,,,,
2025-12-06 16:38:32.095109,3. Tài sản cố định vô hình,,,,
2025-12-06 16:38:32.095109,- Nguyên giá,,,,
2025-12-06 16:38:32.095109,- Giá trị hao mòn lũy kế,,,,
2025-12-06 16:38:32.095109,III. Bất động sản đầu tư,,,,
2025-12-06 16:38:32.095109,- Nguyên giá,,,,
2025-12-06 16:38:32.095109,- Giá trị hao mòn lũy kế,,,,
2025-12-06 16:38:32.095109,IV. Tài sản dở dang dài hạn,,,,
2025-12-06 16:38:32.095109,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,
2025-12-06 16:38:32.095109,2. Chi phí xây dựng cơ bản dở dang,,,,
2025-12-06 16:38:32.095109,V. Đầu tư tài chính dài hạn,,,,
2025-12-06 16:38:32.095109,1. Đầu tư vào công ty con,,,,
2025-12-06 16:38:32.095109,"2. Đầu tư vào công ty liên kết, liên doanh",,,,
2025-12-06 16:38:32.095109,3. Đầu tư góp vốn vào đơn vị khác,,,,
2025-12-06 16:38:32.095109,4. Dự phòng đầu tư tài chính dài hạn,,,,
2025-12-06 16:38:32.095109,5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
2025-12-06 16:38:32.095109,VI. Tài sản dài hạn khác,,,,
2025-12-06 16:38:32.095109,1. Chi phí trả trước dài hạn,,,,
2025-12-06 16:38:32.095109,2. Tài sản thuế thu nhập hoãn lại,,,,
2025-12-06 16:38:32.095109,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
2025-12-06 16:38:32.095109,4. Tài sản dài hạn khác,,,,
2025-12-06 16:38:32.095109,5. Lợi thế thương mại,,,,
2025-12-06 16:38:32.095109,TỔNG CỘNG TÀI SẢN,,,,
2025-12-06 16:38:32.095109,C. NỢ PHẢI TRẢ,,,,
2025-12-06 16:38:32.095109,I. Nợ ngắn hạn,,,,
2025-12-06 16:38:32.095109,1. Phải trả người bán ngắn hạn,,,,
2025-12-06 16:38:32.095109,2. Người mua trả tiền trước ngắn hạn,,,,
2025-12-06 16:38:32.095109,3. Thuế và các khoản phải nộp nhà nước,,,,
2025-12-06 16:38:32.095109,4. Phải trả người lao động,,,,
