time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-12-18 02:55:59.364838,1. Doanh thu bán hàng và cung cấp dịch vụ,"83,581,613,172","71,636,071,034","71,329,283,468","56,899,732,566"
2025-12-18 02:55:59.364838,2. Các khoản giảm trừ doanh thu,,,,
2025-12-18 02:55:59.364838,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"83,581,613,172","71,636,071,034","71,329,283,468","56,899,732,566"
2025-12-18 02:55:59.364838,4. Giá vốn hàng bán,"77,170,636,776","66,979,455,245","62,813,818,978","52,653,907,933"
2025-12-18 02:55:59.364838,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"6,410,976,396","4,656,615,789","8,515,464,490","4,245,824,633"
2025-12-18 02:55:59.364838,6. Doanh thu hoạt động tài chính,"4,016,362,933","3,460,400,478","3,321,378,921","2,792,023,011"
2025-12-18 02:55:59.364838,7. Chi phí tài chính,,,,
2025-12-18 02:55:59.364838,- Trong đó: Chi phí lãi vay,,,,
2025-12-18 02:55:59.364838,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,
2025-12-18 02:55:59.364838,9. Chi phí bán hàng,,,,
2025-12-18 02:55:59.364838,10. Chi phí quản lý doanh nghiệp,"8,005,320,506","5,907,818,464","9,878,626,698","7,129,291,394"
2025-12-18 02:55:59.364838,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"2,422,018,823","2,209,197,803","1,958,216,713","-91,443,750"
2025-12-18 02:55:59.364838,12. Thu nhập khác,"299,591,631","3,545,787,497","2,502,047,265","66,856,681"
2025-12-18 02:55:59.364838,13. Chi phí khác,"45,710,585","132,615,242","949,328,388","16,879,104"
2025-12-18 02:55:59.364838,14. Lợi nhuận khác(40=31-32),"253,881,046","3,413,172,255","1,552,718,877","49,977,577"
2025-12-18 02:55:59.364838,15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"2,675,899,869","5,622,370,058","3,510,935,590","-41,466,173"
2025-12-18 02:55:59.364838,16. Chi phí thuế TNDN hiện hành,"330,586,973","1,124,474,012","1,095,916,252","34,793,521"
2025-12-18 02:55:59.364838,17. Chi phí thuế TNDN hoãn lại,,,,
2025-12-18 02:55:59.364838,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"2,345,312,896","4,497,896,046","2,415,019,338","-76,259,694"
2025-12-18 02:55:59.364838,19. Lợi nhuận sau thuế công ty mẹ,"2,300,568,738","4,368,962,180","2,365,451,094","-124,970,624"
2025-12-18 02:55:59.364838,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,"44,744,158","128,933,866","49,568,244","48,710,930"
2025-12-18 02:55:59.364838,21. Lãi cơ bản trên cổ phiếu(*),176,333,181,-10
2025-12-18 02:55:59.364838,22. Lãi suy giảm trên cổ phiếu (*),,,,
