time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-12-05 18:56:31.989718,1. Doanh thu bán hàng và cung cấp dịch vụ,"56,899,732,566",,"76,371,303,274","63,193,537,687"
2025-12-05 18:56:31.989718,2. Các khoản giảm trừ doanh thu,,,,
2025-12-05 18:56:31.989718,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"56,899,732,566",,"76,371,303,274","63,193,537,687"
2025-12-05 18:56:31.989718,4. Giá vốn hàng bán,"52,653,907,933",,"68,636,798,523","59,122,684,721"
2025-12-05 18:56:31.989718,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"4,245,824,633",,"7,734,504,751","4,070,852,966"
2025-12-05 18:56:31.989718,6. Doanh thu hoạt động tài chính,"2,792,023,011",,"2,518,334,319","2,271,401,371"
2025-12-05 18:56:31.989718,7. Chi phí tài chính,,,,
2025-12-05 18:56:31.989718,- Trong đó: Chi phí lãi vay,,,,
2025-12-05 18:56:31.989718,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,
2025-12-05 18:56:31.989718,9. Chi phí bán hàng,,,,
2025-12-05 18:56:31.989718,10. Chi phí quản lý doanh nghiệp,"7,129,291,394",,"7,107,147,764","9,022,650,348"
2025-12-05 18:56:31.989718,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"-91,443,750",,"3,145,691,306","-2,680,396,011"
2025-12-05 18:56:31.989718,12. Thu nhập khác,"66,856,681",,"238,442,743","6,644,816,204"
2025-12-05 18:56:31.989718,13. Chi phí khác,"16,879,104",,"-93,440,829","120,506,403"
2025-12-05 18:56:31.989718,14. Lợi nhuận khác(40=31-32),"49,977,577",,"331,883,572","6,524,309,801"
2025-12-05 18:56:31.989718,15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"-41,466,173",,"3,477,574,878","3,843,913,790"
2025-12-05 18:56:31.989718,16. Chi phí thuế TNDN hiện hành,"34,793,521",,"695,514,975","1,148,656,910"
2025-12-05 18:56:31.989718,17. Chi phí thuế TNDN hoãn lại,,,,
2025-12-05 18:56:31.989718,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"-76,259,694",,"2,782,059,903","2,695,256,880"
2025-12-05 18:56:31.989718,19. Lợi nhuận sau thuế công ty mẹ,"-124,970,624",,"2,695,739,001","2,697,768,110"
2025-12-05 18:56:31.989718,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,"48,710,930",,"86,320,902","-2,511,230"
2025-12-05 18:56:31.989718,21. Lãi cơ bản trên cổ phiếu(*),-10,,206,206
2025-12-05 18:56:31.989718,22. Lãi suy giảm trên cổ phiếu (*),,,,
