time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-12-05 18:57:09.669513,A- TÀI SẢN NGẮN HẠN,"344,126,734,481",,"373,709,705,271","367,044,469,733"
2025-12-05 18:57:09.669513,I. Tiền và các khoản tương đương tiền,"6,872,398,641",,"27,782,773,707","34,544,484,237"
2025-12-05 18:57:09.669513,1. Tiền,"6,872,398,641",,"10,782,773,707","17,357,996,566"
2025-12-05 18:57:09.669513,2. Các khoản tương đương tiền,,,"17,000,000,000","17,186,487,671"
2025-12-05 18:57:09.669513,II. Các khoản đầu tư tài chính ngắn hạn,"205,823,763,424",,"198,575,743,408","194,841,267,559"
2025-12-05 18:57:09.669513,1. Chứng khoán kinh doanh,,,,
2025-12-05 18:57:09.669513,2. Dự phòng giảm giá chứng khoán kinh doanh,,,,
2025-12-05 18:57:09.669513,3. Đầu tư nắm giữ đến ngày đáo hạn,"205,823,763,424",,"198,575,743,408","194,841,267,559"
2025-12-05 18:57:09.669513,III. Các khoản phải thu ngắn hạn,"129,676,169,986",,"145,166,499,787","134,380,442,194"
2025-12-05 18:57:09.669513,1. Phải thu ngắn hạn của khách hàng,"126,082,573,403",,"139,676,161,023","130,653,851,078"
2025-12-05 18:57:09.669513,2. Trả trước cho người bán ngắn hạn,"550,686,500",,"791,553,275","533,381,678"
2025-12-05 18:57:09.669513,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,
2025-12-05 18:57:09.669513,5. Phải thu về cho vay ngắn hạn,,,"6,380,000,000","6,380,000,000"
2025-12-05 18:57:09.669513,6. Phải thu ngắn hạn khác,"8,601,623,819",,"5,120,918,048","3,817,979,296"
2025-12-05 18:57:09.669513,7. Dự phòng phải thu ngắn hạn khó đòi,"-5,558,713,736",,"-6,802,132,559","-7,004,769,858"
2025-12-05 18:57:09.669513,8. Tài sản Thiếu chờ xử lý,,,,
2025-12-05 18:57:09.669513,IV. Hàng tồn kho,"1,746,571,675",,"2,175,633,341","2,733,429,705"
2025-12-05 18:57:09.669513,1. Hàng tồn kho,"1,746,571,675",,"2,175,633,341","2,733,429,705"
2025-12-05 18:57:09.669513,2. Dự phòng giảm giá hàng tồn kho,,,,
2025-12-05 18:57:09.669513,V.Tài sản ngắn hạn khác,"7,830,755",,"9,055,028","544,846,038"
2025-12-05 18:57:09.669513,1. Chi phí trả trước ngắn hạn,"7,830,755",,,
2025-12-05 18:57:09.669513,2. Thuế GTGT được khấu trừ,,,"9,055,028","544,846,038"
2025-12-05 18:57:09.669513,3. Thuế và các khoản khác phải thu Nhà nước,,,,
2025-12-05 18:57:09.669513,4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
2025-12-05 18:57:09.669513,5. Tài sản ngắn hạn khác,,,,
2025-12-05 18:57:09.669513,B. TÀI SẢN DÀI HẠN,"39,043,403,999",,"33,017,994,467","30,053,972,417"
2025-12-05 18:57:09.669513,I. Các khoản phải thu dài hạn,,,,
2025-12-05 18:57:09.669513,1. Phải thu dài hạn của khách hàng,,,,
2025-12-05 18:57:09.669513,2. Trả trước cho người bán dài hạn,,,,
2025-12-05 18:57:09.669513,3. Vốn kinh doanh ở đơn vị trực thuộc,,,,
2025-12-05 18:57:09.669513,4. Phải thu nội bộ dài hạn,,,,
2025-12-05 18:57:09.669513,5. Phải thu về cho vay dài hạn,,,,
2025-12-05 18:57:09.669513,6. Phải thu dài hạn khác,,,,
2025-12-05 18:57:09.669513,7. Dự phòng phải thu dài hạn khó đòi,,,,
2025-12-05 18:57:09.669513,II.Tài sản cố định,"39,043,403,999",,"33,017,994,467","30,053,972,417"
2025-12-05 18:57:09.669513,1. Tài sản cố định hữu hình,"39,043,403,999",,"33,017,994,467","30,053,972,417"
2025-12-05 18:57:09.669513,- Nguyên giá,"249,202,786,687",,"249,202,786,687","236,716,424,631"
2025-12-05 18:57:09.669513,- Giá trị hao mòn lũy kế,"-210,159,382,688",,"-216,184,792,220","-206,662,452,214"
2025-12-05 18:57:09.669513,2. Tài sản cố định thuê tài chính,,,,
2025-12-05 18:57:09.669513,- Nguyên giá,,,,
2025-12-05 18:57:09.669513,- Giá trị hao mòn lũy kế,,,,
2025-12-05 18:57:09.669513,3. Tài sản cố định vô hình,,,,
2025-12-05 18:57:09.669513,- Nguyên giá,,,,
2025-12-05 18:57:09.669513,- Giá trị hao mòn lũy kế,,,,
2025-12-05 18:57:09.669513,III. Bất động sản đầu tư,,,,
2025-12-05 18:57:09.669513,- Nguyên giá,,,,
2025-12-05 18:57:09.669513,- Giá trị hao mòn lũy kế,,,,
2025-12-05 18:57:09.669513,IV. Tài sản dở dang dài hạn,,,,
2025-12-05 18:57:09.669513,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,
2025-12-05 18:57:09.669513,2. Chi phí xây dựng cơ bản dở dang,,,,
2025-12-05 18:57:09.669513,V. Đầu tư tài chính dài hạn,,,,
2025-12-05 18:57:09.669513,1. Đầu tư vào công ty con,,,,
2025-12-05 18:57:09.669513,"2. Đầu tư vào công ty liên kết, liên doanh",,,,
2025-12-05 18:57:09.669513,3. Đầu tư góp vốn vào đơn vị khác,,,,
2025-12-05 18:57:09.669513,4. Dự phòng đầu tư tài chính dài hạn,,,,
2025-12-05 18:57:09.669513,5. Đầu tư nắm giữ đến ngày đáo hạn,,,,
2025-12-05 18:57:09.669513,VI. Tài sản dài hạn khác,,,,
2025-12-05 18:57:09.669513,1. Chi phí trả trước dài hạn,,,,
2025-12-05 18:57:09.669513,2. Tài sản thuế thu nhập hoãn lại,,,,
2025-12-05 18:57:09.669513,"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,
2025-12-05 18:57:09.669513,4. Tài sản dài hạn khác,,,,
2025-12-05 18:57:09.669513,5. Lợi thế thương mại,,,,
2025-12-05 18:57:09.669513,TỔNG CỘNG TÀI SẢN,"383,170,138,480",,"406,727,699,738","397,098,442,150"
2025-12-05 18:57:09.669513,C. NỢ PHẢI TRẢ,"57,901,254,089",,"78,112,092,387","65,787,577,919"
2025-12-05 18:57:09.669513,I. Nợ ngắn hạn,"57,901,254,089",,"78,112,092,387","65,787,577,919"
2025-12-05 18:57:09.669513,1. Phải trả người bán ngắn hạn,"38,193,059,399",,"44,580,246,697","45,915,687,851"
2025-12-05 18:57:09.669513,2. Người mua trả tiền trước ngắn hạn,"909,631,319",,,
2025-12-05 18:57:09.669513,3. Thuế và các khoản phải nộp nhà nước,"1,034,088,327",,"4,824,522,573","1,491,952,517"
2025-12-05 18:57:09.669513,4. Phải trả người lao động,"8,497,714,023",,"12,690,332,155","14,809,801,897"
2025-12-05 18:57:09.669513,5. Chi phí phải trả ngắn hạn,"3,262,026,710",,"4,214,266,895","353,890,785"
2025-12-05 18:57:09.669513,6. Phải trả nội bộ ngắn hạn,,,,
2025-12-05 18:57:09.669513,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,
2025-12-05 18:57:09.669513,8. Doanh thu chưa thực hiện ngắn hạn,,,,
2025-12-05 18:57:09.669513,9. Phải trả ngắn hạn khác,"894,927,187",,"1,015,869,536","1,003,528,634"
2025-12-05 18:57:09.669513,10. Vay và nợ thuê tài chính ngắn hạn,,,,
2025-12-05 18:57:09.669513,11. Dự phòng phải trả ngắn hạn,"4,055,454,351",,"8,047,487,296",
2025-12-05 18:57:09.669513,12. Quỹ khen thưởng phúc lợi,"1,054,352,773",,"2,739,367,235","2,212,716,235"
2025-12-05 18:57:09.669513,13. Quỹ bình ổn giá,,,,
2025-12-05 18:57:09.669513,14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,
2025-12-05 18:57:09.669513,II. Nợ dài hạn,,,,
2025-12-05 18:57:09.669513,1. Phải trả người bán dài hạn,,,,
2025-12-05 18:57:09.669513,2. Người mua trả tiền trước dài hạn,,,,
2025-12-05 18:57:09.669513,3. Chi phí phải trả dài hạn,,,,
2025-12-05 18:57:09.669513,4. Phải trả nội bộ về vốn kinh doanh,,,,
2025-12-05 18:57:09.669513,5. Phải trả nội bộ dài hạn,,,,
2025-12-05 18:57:09.669513,6. Doanh thu chưa thực hiện dài hạn,,,,
2025-12-05 18:57:09.669513,7. Phải trả dài hạn khác,,,,
